全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
402052,,福岡県飯塚市,頴田小学校（小中一貫校頴田校）,ｶｲﾀｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市鹿毛馬1667番地2,,飯塚市,,,,33.6838619,130.7287451,,,0948-92-0126,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内小学校,ｼｮｳﾅｲｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市有安1番地22,,飯塚市,,,,33.63951841,130.733951,,,0948-82-1202,,,,,820-0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,内野小学校,ｳﾁﾉｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市内野3537番地1  ,,飯塚市,,,,33.53913889,130.6386667,,,0948-72-0155,,,,,820-0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,上穂波小学校,ｶﾐﾎﾅﾐｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市筑穂元吉430番地,,飯塚市,,,,33.57019444,130.6420735,,,0948-72-0014,,,,,820-0705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,大分小学校,ﾀﾞｲﾌﾞｼｮｳｶﾞｯｺｳ  ,,,1503,,,,,福岡県飯塚市大分1985番地1,,飯塚市,,,,33.58869444,130.6230278,,,0948-72-0106,,,,,820-0712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波東小学校（小中一貫校穂波東校）,ﾎﾅﾐﾋｶﾞｼｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市平恒1021番地1,,飯塚市,,,,33.61130165,130.6846785,,,0948-22-0579,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,若菜小学校,ﾜｶﾅｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市小正249番地2,,飯塚市,,,,33.62725,130.6666667,,,0948-22-0581,,,,,820-0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,椋本小学校 ,ﾑｸﾓﾄｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市椋本16番地2  ,,飯塚市,,,,33.6079791,130.6649876,,,0948-22-1068,,,,,820-0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,高田小学校,ﾀｶﾀｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市高田701番地１,,飯塚市,,,,33.60671641,130.6399169,,,0948-22-3328,,,,,820-0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚第一中学校,ｲｲﾂﾞｶﾀﾞｲｲﾁﾁｭｳｶﾞｯｺｳ  ,,,1504,,,,,福岡県飯塚市新立岩16番18号,,飯塚市,,,,33.64733133,130.6877252,,,0948-22-0553,,,,,820-0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚第二中学校,ｲｲﾂﾞｶﾀﾞｲﾆﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市柏の森483番地,,飯塚市,,,,33.63655556,130.7001944,,,0948-22-3713,,,,,820-0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,二瀬中学校,ﾌﾀｾﾁｭｳｶﾞｯｺｳ ,,,1504,,,,,福岡県飯塚市伊岐須740番地  ,,飯塚市,,,,33.65280144,130.659308,,,0948-22-0388,,,,,820-0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,幸袋中学校（小中一貫校幸袋校）,ｺｳﾌﾞｸﾛﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市中730番地1  ,,飯塚市,,,,33.66674663,130.680657,,,0948-22-2924,,,,,820-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚鎮西中学校（小中一貫校飯塚鎮西校）,ｲｲﾂﾞｶﾁﾝｾﾞｲﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市大日寺141番地,,飯塚市,,,,33.63765187,130.6474889,,,0948-24-4432,,,,,820-0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,頴田中学校（小中一貫校頴田校）,ｶｲﾀﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市鹿毛馬1667番地2,,飯塚市,,,,33.6838619,130.7287451,,,0948-92-0126,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内中学校,ｼｮｳﾅｲﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市綱分1000番地1,,飯塚市,,,,33.633,130.7310556,,,0948-82-1201,,,,,820-0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂中学校,ﾁｸﾎﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市長尾903番地1,,飯塚市,,,,33.57386111,130.6425556,,,0948-72-0103,,,,,820-0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波東中学校（小中一貫校穂波東校）,ﾎﾅﾐﾋｶﾞｼﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市平恒1021番地1,,飯塚市,,,,33.61102615,130.6843194,,,0948-22-1052,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波西中学校,ﾎﾅﾐﾆｼﾁｭｳｶﾞｯｺｳ,,,1504,,,,,福岡県飯塚市椿250番地1,,飯塚市,,,,33.6161443,130.6612693,,,0948-22-1049,,,,,820-0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,イイヅカコミュニティセンター（中央公民館）,ｲｲﾂﾞｶｺﾐｭﾆﾃｨｰｾﾝﾀｰ,,,1307,,,,,福岡県飯塚市飯塚14番67号,,飯塚市,,,,33.636307,130.684494,,,0948-22-3274,,,,,820-0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,二瀬交流センター,ﾌﾀｾｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市横田809番地,,飯塚市,,,,33.649139,130.670731,,,0948-22-2196,,,,,820-0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,幸袋交流センター,ｺｳﾌﾞｸﾛｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市目尾1020番地1,,飯塚市,,,,33.675495,130.704483,,,0948-22-1189,,,,,820-0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,鎮西交流センター,ﾁﾝｾﾞｲｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市大日寺141番地,,飯塚市,,,,33.63765187,130.6474889,,,0948-23-3396,,,,,820-0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,菰田交流センター,ｺﾓﾀﾞｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市菰田東1丁目7番45号,,飯塚市,,,,33.628597,130.692139,,,0948-23-6819,,,,,820-0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,立岩交流センター,ﾀﾃｲﾜｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市新立岩8番13号,,飯塚市,,,,33.648083,130.689072,,,0948-23-6000,,,,,820-0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚東交流センター,ｲｲﾂﾞｶﾋｶﾞｼｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市下三緒57番地86  ,,飯塚市,,,,33.631728,130.706427,,,0948-23-6028,,,,,820-0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚片島交流センター,ｲｲﾂﾞｶｶﾀｼﾏｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市本町20番17号,,飯塚市,,,,33.637596,130.683014,,,0948-22-2379,,,,,820-0042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,鯰田交流センター,ﾅﾏｽﾞﾀｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市鯰田1358番地1  ,,飯塚市,,,,33.667925,130.704195,,,0948-22-9293,,,,,820-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波交流センター,ﾎﾅﾐｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市秋松408番地  ,,飯塚市,,,,33.619717,130.67601,,,0948-24-7458,,,,,820-0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂交流センター,ﾁｸﾎｺｳﾘｭｳｾﾝﾀｰ ,,,1304,,,,,福岡県飯塚市長尾1340番地  ,,飯塚市,,,,33.57103,130.647995,,,0948-72-2204,,,,,820-0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内交流センター,ｼｮｳﾅｲｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市綱分771番地1  ,,飯塚市,,,,33.637614,130.729387,,,0948-82-3344,,,,,820-0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内交流センター別館（旧生涯学習交流館）,ｼｮｳﾅｲｺｳﾘｭｳｾﾝﾀｰﾍﾞｯｶﾝ,,,1304,,,,,福岡県飯塚市綱分791番地4,,飯塚市,,,,33.636793,130.729365,,,0948-82-3344,,,,,820-0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,頴田交流センター,ｶｲﾀｺｳﾘｭｳｾﾝﾀｰ,,,1304,,,,,福岡県飯塚市鹿毛馬1667番地2,,飯塚市,,,,33.683889,130.729253,,,0948-92-1034,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,頴田交流センター別館（旧サンシャインかいた）,ｶｲﾀｺｳﾘｭｳｾﾝﾀｰﾍﾞｯｶﾝ,,,1304,,,,,福岡県飯塚市鹿毛馬2328番地2  ,,飯塚市,,,,33.679997,130.721812,,,0948-96-3050,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,イイヅカコスモスコモン（飯塚市文化会館）,ｲｲﾂﾞｶｺｽﾓｽｺﾓﾝ,,,1308,,,,,福岡県飯塚市飯塚14番66号,,飯塚市,,,,33.635247,130.684744,,,0948-21-0505,,,,,820-0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚歴史資料館,ｲｲﾂﾞｶﾚｷｼｼﾘｮｳｶﾝ,,,809,,,,,福岡県飯塚市柏の森959番地１,,飯塚市,,,,33.64284,130.696814,,,0948-25-2930,,,,,820-0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚市立図書館,ｲｲﾂﾞｶｼﾘﾂﾄｼｮｶﾝ,,,1512,,,,,福岡県飯塚市飯塚14番67号,,飯塚市,,,,33.636307,130.684494,,,0948-22-5552,,,,,820-0041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚市立ちくほ図書館,ｲｲﾂﾞｶｼﾘﾂﾁｸﾎﾄｼｮｶﾝ,,,1512,,,,,福岡県飯塚市長尾1390番地1  ,,飯塚市,,,,33.571364,130.646936,,,0948-72-3849,,,,,820-0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚市立庄内図書館,ｲｲﾂﾞｶｼﾘﾂｼｮｳﾅｲﾄｼｮｶﾝ,,,1512,,,,,福岡県飯塚市綱分792番地5,,飯塚市,,,,33.63681,130.729451,,,0948-82-4155,,,,,820-0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚市立穂波図書館,ｲｲﾂﾞｶｼﾘﾂﾎﾅﾐﾄｼｮｶﾝ,,,1512,,,,,福岡県飯塚市秋松407番地1  ,,飯塚市,,,,33.619453,130.676236,,,0948-29-1172,,,,,820-0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚市立頴田図書館,ｲｲﾂﾞｶｼﾘﾂｶｲﾀﾄｼｮｶﾝ,,,1512,,,,,福岡県飯塚市鹿毛馬1667番地2,,飯塚市,,,,33.683889,130.729253,,,0948-92-3760,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内生活体験学校,ｼｮｳﾅｲｾｲｶﾂﾀｲｹﾝｶﾞｯｺｳ,,,1519,,,,,福岡県飯塚市有安958番地1  ,,飯塚市,,,,33.642482,130.717757,,,0948-82-3188,,,,,820-0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波青少年野営訓練所,ﾎﾅﾐｾｲｼｮｳﾈﾝﾔｴｲｸﾝﾚﾝｼﾞｮ,,,1599,,,,,福岡県飯塚市舎利蔵722番地1  ,,飯塚市,,,,33.615906,130.623279,,,0948-24-7458,,,,,820-0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚市総合体育館,ｲｲﾂﾞｶｼｿｳｺﾞｳﾀｲｲｸｶﾝ,,,1110,,,,,福岡県飯塚市鯰田1560番地5  ,,飯塚市,,,,33.656531,130.704378,,,0948-23-4500,,,,,820-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波体育館,ﾎﾅﾐﾀｲｲｸｶﾝ  ,,,1110,,,,,福岡県飯塚市秋松408番地  ,,飯塚市,,,,33.619435,130.675839,,,0948-24-2204,,,,,820-0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波Ｂ＆Ｇ海洋センター,ﾎﾅﾐﾋﾞｰｱﾝﾄﾞｼﾞｰｶｲﾖｳｾﾝﾀｰ,,,1110,,,,,福岡県飯塚市平恒54番地24,,飯塚市,,,,33.613306,130.694765,,,0948-29-3266,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂体育館,ﾁｸﾎﾀｲｲｸｶﾝ,,,1110,,,,,福岡県飯塚市長尾1340番地  ,,飯塚市,,,,33.57081,130.646968,,,0948-72-2204,,,,,820-0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内体育館,ｼｮｳﾅｲﾀｲｲｸｶﾝ,,,1110,,,,,福岡県飯塚市有安830番地6  ,,飯塚市,,,,33.640892,130.72413,,,0948-82-1881,,,,,820-0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,弓道場,ｷｭｳﾄﾞｳｼﾞｮｳ,,,1120,,,,,福岡県飯塚市鯰田1560番地5  ,,飯塚市,,,,33.656531,130.704378,,,0948-23-4500,,,,,820-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,健康の森多目的広場,ｹﾝｺｳﾉﾓﾘﾀﾓｸﾃｷﾋﾛﾊﾞ,,,1133,,,,,福岡県飯塚市吉北120番地9  ,,飯塚市,,,,33.682756,130.68483,,,0948-23-4500,,,,,820-0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,頴田グラウンド,ｶｲﾀｸﾞﾗｳﾝﾄﾞ,,,1106,,,,,福岡県飯塚市鹿毛馬2288番地  ,,飯塚市,,,,33.67747,130.72325,,,0948-92-1034,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂グラウンド,ﾁｸﾎｸﾞﾗｳﾝﾄﾞ,,,1106,,,,,福岡県飯塚市長尾1340番地,,飯塚市,,,,33.571722,130.64759,,,0948-72-2204,,,,,820-0701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂多目的グラウンド,ﾁｸﾎﾀﾓｸﾃｷｸﾞﾗｳﾝﾄﾞ,,,1106,,,,,福岡県飯塚市大分1985番地53  ,,飯塚市,,,,33.589026,130.619845,,,0948-24-2204,,,,,820-0712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内グラウンド,ｼｮｳﾅｲｸﾞﾗｳﾝﾄﾞ,,,1106,,,,,福岡県飯塚市有安1番地2,,飯塚市,,,,33.639392,130.736039,,,0948-82-1881,,,,,820-0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波グラウンド,ﾎﾅﾐｸﾞﾗｳﾝﾄﾞ,,,1106,,,,,福岡県飯塚市平恒1番地6,,飯塚市,,,,33.614253,130.695301,,,0948-29-3266,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,椿運動広場,ﾂﾊﾞｷｳﾝﾄﾞｳﾋﾛﾊﾞ,,,1106,,,,,福岡県飯塚市椿523番地1,,飯塚市,,,,33.615611,130.655873,,,0948-24-2204,,,,,820-0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,市民公園運動広場,ｼﾐﾝｺｳｴﾝｳﾝﾄﾞｳﾋﾛﾊﾞ,,,1106,,,,,福岡県飯塚市鯰田1560番地4  ,,飯塚市,,,,33.658478,130.704603,,,0948-23-4500,,,,,820-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波野球場,ﾎﾅﾐﾔｷｭｳｼﾞｮｳ  ,,,1103,,,,,福岡県飯塚市平恒1番地6  ,,飯塚市,,,,33.614226,130.697469,,,0948-29-3266,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂野球場,ﾁｸﾎﾔｷｭｳｼﾞｮｳ,,,1103,,,,,福岡県飯塚市大分1985番地53,,飯塚市,,,,33.587123,130.622334,,,0948-24-2204,,,,,820-0712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内野球場,ｼｮｳﾅｲﾔｷｭｳｼﾞｮｳ,,,1103,,,,,福岡県飯塚市有安830番地6  ,,飯塚市,,,,33.639499,130.72472,,,0948-82-1881,,,,,820-0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,頴田野球場,ｶｲﾀﾔｷｭｳｼﾞｮｳ  ,,,1103,,,,,福岡県飯塚市鹿毛馬2323番地1  ,,飯塚市,,,,33.678783,130.723175,,,0948-92-1034,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,健康の森公園市民プール,ｹﾝｺｳﾉﾓﾘｺｳｴﾝｼﾐﾝﾌﾟｰﾙ,,,1107,,,,,福岡県飯塚市吉北118番地11,,飯塚市,,,,33.68147,130.686042,,,0948-21-7811,,,,,820-0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波市民プール,ﾎﾅﾐｼﾐﾝﾌﾟｰﾙ,,,1107,,,,,福岡県飯塚市平恒54番地24  ,,飯塚市,,,,33.613315,130.694904,,,0948-29-3266,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波テニスコート,ﾎﾅﾐﾃﾆｽｺｰﾄ ,,,1116,,,,,福岡県飯塚市平恒1番地6  ,,飯塚市,,,,33.613574,130.696567,,,0948-29-3266,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,頴田テニスコート,ｶｲﾀﾃﾆｽｺｰﾄ,,,1116,,,,,福岡県飯塚市鹿毛馬2288番地  ,,飯塚市,,,,33.677961,130.722563,,,0948-92-1034,,,,,820-1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑豊緑地テニスコート,ﾁｸﾎｳﾘｮｸﾁﾃﾆｽｺｰﾄ,,,1116,,,,,福岡県飯塚市仁保8番地30,,飯塚市,,,,33.658639,130.74548,,,0948-82-1023,,,,,820-0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,市民公園テニスコート,ｼﾐﾝｺｳｴﾝﾃﾆｽｺｰﾄ,,,1116,,,,,福岡県飯塚市鯰田1560番地4,,飯塚市,,,,33.657049,130.705419,,,0948-23-4500,,,,,820-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,サンビレッジ茜,ｻﾝﾋﾞﾚｯｼﾞｱｶﾈ,,,1148,,,,,福岡県飯塚市山口845番地38 ,,飯塚市,,,,33.553234,130.598516,,,0948-72-3331,,,,,820-0711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波艇庫,ﾎﾅﾐﾃｲｺ,,,1142,,,,,福岡県飯塚市平恒477番地11  ,,飯塚市,,,,33.600689,130.697232,,,0948-29-3266,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,健康の森公園ゲートボール場,ｹﾝｺｳﾉﾓﾘｺｳｴﾝｹﾞｰﾄﾎﾞｰﾙｼﾞｮｳ,,,1143,,,,,福岡県飯塚市吉北118番地 ,,飯塚市,,,,33.681238,130.689132,,,0948-24-2355,,,,,820-0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,菰田保育所,ｺﾓﾀﾞﾎｲｸｼｮ,,,1402,,,,,福岡県飯塚市堀池15番地9  ,,飯塚市,,,,33.628914,130.686258,,,0948-22-0865,,,,,820-0070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,穂波東保育所,ﾎﾅﾐﾋｶﾞｼﾎｲｸｼｮ,,,1402,,,,,福岡県飯塚市平恒115番地52,,飯塚市,,,,33.613762,130.69028,,,0948-23-6990,,,,,820-0073,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,筑穂保育所（子育て支援センター有り）,ﾁｸﾎﾎｲｸｼｮ,,,1402,,,,,福岡県飯塚市筑穂元吉645番地1,,飯塚市,,,,33.572687,130.640681,,,0948-72-0071,,,,,820-0705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,庄内こども園,ｼｮｳﾅｲｺﾄﾞﾓｴﾝ,,,1405,,,,,福岡県飯塚市赤坂364番地,,飯塚市,,,,33.622017,130.73312,,,0948-82-0009,,,,,820-0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
