全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
402052,0000000014,福岡県飯塚市,飯塚市立病院,イイヅカシリツビョウイン,,病院,,,福岡県飯塚市弁分633番地1　　　　　　,,飯塚市,,,,33.61975383,130.6524302,,,0948-22-2980,,,,,,,,,,月火水木金土日祝,08:20,15:00,診療科によって予約制の有無、受付時間、診療時間が異なります。病院ホームページにてご確認ください。,,内科、外科、眼科、整形外科、脳神経外科、小児科、泌尿器科、麻酔科、脳神経内科、リハビリテーション科、耳鼻咽喉科、放射線科、皮膚科、呼吸器外科、乳腺外科、救急科,250,,,https://iizukacityhp.jp/,,,
402052,0000000015,福岡県飯塚市,飯塚腎クリニック,イイヅカジンクリニック,,有床診療所,,,福岡県飯塚市片島2丁目16-30,,飯塚市,,,,33.648877,130.683424,,,0948-21-8877,,,,,,,,,,月火水木金,09:00,18:00,"火水木:午後休診
再診は予約制です。火曜日、木曜日は新患のみです。",,内科、腎臓内科,12,,,,,,
402052,0000000016,福岡県飯塚市,いいづか内科クリニック,イイヅカナイカクリニック,,無床診療所,,,福岡県飯塚市楽市309-8,,飯塚市,,,,33.611639,130.678682,,,0948-29-1666,,,,,,,,,,月火水木金土,09:00,17:30,水土:午後休診,,内科、糖尿病内科,0,,,https://www.hayashidanaika-iizuka.jp/,,,
402052,0000000017,福岡県飯塚市,飯塚東耳鼻いんこう科,イイヅカヒガシジビインコウカ,,無床診療所,,,福岡県飯塚市柏の森1-46,,飯塚市,,,,33.645296,130.708519,,,0948-43-8191,,,,,,,,,,月火水木金土,09:00,18:00,"水:9:00-12:30
土:9:00-13:00",,耳鼻咽喉科,0,,,https://iizuka-cl.jp/,,,
402052,0000000018,福岡県飯塚市,飯塚病院,イイヅカビョウイン,,病院,,,福岡県飯塚市芳雄町3-83,,飯塚市,,,,33.64210158,130.6912675,,,0948-22-3800,,,,,,,,,,月火水木金,08:00,11:00,当院は、一部診療科を除き原則紹介状が必要です。また、予約制となっている診療科もありますので詳細は当院ホームページにてご確認ください。受付及び診察時間は診療科により異なります。,,内科、肝臓内科、内分泌・糖尿病内科、血液内科、腎臓内科、心療内科、精神科、神経内科、呼吸器内科、消化器内科、消化器外科、循環器内科、リウマチ科、漢方内科、小児科、外科、整形外科、形成外科、脳神経外科、呼吸器外科、心臓血管外科、小児外科、皮膚科、泌尿器科、産婦人科、眼科、耳鼻咽喉科、リハビリテーション科、放射線科、歯科口腔外科、麻酔科、救急科、病理診断科、疼痛緩和内科、感染症内科,1048,,,https://aih-net.com/,,,
402052,0000000019,福岡県飯塚市,いくたクリニック,イクタクリニック,,無床診療所,,,福岡県飯塚市楽市659-3,,飯塚市,,,,33.614012,130.674144,,,0948-22-0666,,,,,,,,,,火水木土日祝,10:00,17:00,,,心療内科、精神科、内科,0,,,,,,
402052,0000000020,福岡県飯塚市,石川クリニック,イシカワクリニック,,無床診療所,,,福岡県飯塚市柏の森92-103,,飯塚市,,,,33.640624,130.711228,,,0948-22-0019,,,,,,,,,,月火水木金土,09:00,18:00,水土:午後休診,,脳神経外科、整形外科、麻酔科、ペインクリニック外科、リハビリテーション科,0,,,https://ishikawa-med-cl.com/,,,
402052,0000000021,福岡県飯塚市,いしこ整形外科,イシコセイケイゲカ,,無床診療所,,,福岡県飯塚市片島2丁目6番8号,,飯塚市,,,,33.649753,130.683575,,,0948-52-3595,,,,,,,,,,月火水木金土,08:55,17:30,土:午後休診,,整形外科、リハビリテーション科,0,,,https://ishiko-oc.com/,,,
402052,0000000022,福岡県飯塚市,（医）牛島診療所,ウシジマシンリョウジョ,,無床診療所,,,福岡県飯塚市小正463-6,,飯塚市,,,,33.629057,130.661366,,,0948-25-3490,,,,,,,,,,月火水木金土,09:00,18:00,土:午後休診,,内科、外科、脳神経外科、整形外科、胃腸科、肛門科,0,,,,,,
402052,0000000023,福岡県飯塚市,内野内科クリニック,ウチノナイカクリニック,,無床診療所,,,福岡県飯塚市長尾884番地22,,飯塚市,,,,33.574944,130.64391,,,0948-52-6600,,,,,,,,,,月火水木金土,09:00,16:30,水土:午後休診,,内科、小児科,0,,,,,,
402052,0000000024,福岡県飯塚市,おおつか眼科内科医院,オオツカガンカナイカイイン,,無床診療所,,,福岡県飯塚市長尾405-1,,飯塚市,,,,33.575977,130.653223,,,0948-72-2828,,,,,,,,,,月火水木金土,09:00,18:00,"土:午後休診
外来については、現在は眼科を中心にやっています。内科については、初診の患者さんの診察はしていません。再来のみとなります。",,内科、眼科、小児科,0,,,,,,
402052,0000000025,福岡県飯塚市,（医）大庭医院,オオバイイン,,無床診療所,,,福岡県飯塚市飯塚18-27,,飯塚市,,,,33.637007,130.684138,,,0948-22-1009,,,,,,,,,,月火水木金土,09:00,18:00,土:午後休診,,内科、小児科、循環器内科,0,,,,,,
402052,0000000026,福岡県飯塚市,（医）大庭クリニック,オオバクリニック,,無床診療所,,,福岡県飯塚市伊岐須298-10,,飯塚市,,,,33.652311,130.665277,,,0948-25-5678,,,,,,,,,,月火水木金土,09:00,18:00,"月水金:9:00-12:30、17:00-18:00
火木:9:00-12:30
土:9:00-13:00",,内科,0,,,,,,
402052,0000000027,福岡県飯塚市,岡眼科飯塚クリニック,オカガンカイイヅカクリニック,,無床診療所,,,福岡県飯塚市川津371番1,,飯塚市,,,,33.648431,130.676794,,,0948-22-5155,,,,,,,,,,月火水木金,08:30,16:00,第3土:受付16時まで,,眼科,0,,,https://www.okaganka.com/iizuka.html,,,
402052,0000000028,福岡県飯塚市,岡眼科日帰り手術クリニック,オカガンカヒガエリシュジュツクリニック,,無床診療所,,,福岡県飯塚市川津364-2,,飯塚市,,,,33.648431,130.676794,,,0948-22-5155,,,,,,,,,,月火水木金,09:00,16:00,,,眼科,0,,,,,,
402052,0000000029,福岡県飯塚市,小川内科・循環器内科,オガワナイカ・ジュンカンキナイカ,,無床診療所,,,福岡県飯塚市吉原町6番1号あいタウン3階,,飯塚市,,,,33.641239,130.686356,,,0948-22-2010,,,,,,,,,,月火水木金土,09:00,17:30,水土:午後休診,,内科、循環器内科,0,,,,,,
402052,0000000030,福岡県飯塚市,（医）越智外科胃腸科医院,オチゲカイチョウカイイン,,無床診療所,,,福岡県飯塚市柏の森618,,飯塚市,,,,33.639678,130.698177,,,0948-22-9081,,,,,,,,,,月火水木金土,08:30,17:00,木土:午後休診,,内科、外科、胃腸科、整形外科、放射線科、こう門科、麻酔科,0,,,,,,
402052,0000000031,福岡県飯塚市,頴田病院,カイタビョウイン,,病院,,,福岡県飯塚市口原1061番地1,,飯塚市,,,,33.685291,130.720664,,,0948-92-2131,,,,,,,,,,月火水木金土,08:30,16:30,婦人科については、隔週診療,,内科、小児科、外科、整形外科、眼科、耳鼻咽喉科、腎臓内科、リハビリテーション科、婦人科,96,,,https://www.kaita-hospital.jp/,,,
402052,0000000032,福岡県飯塚市,梶原クリニック,カジワラクリニック,,無床診療所,,,福岡県飯塚市宮町1-8,,飯塚市,,,,33.640973,130.684664,,,0948-24-2312,,,,,,,,,,月火水木金土,09:00,17:30,土:午後休診,,内科、脳神経外科,0,,,https://www.kajiwaraclinic.com/,,,
402052,0000000033,福岡県飯塚市,（医）梶原内科医院,カジワラナイカイイン,,有床診療所,,,福岡県飯塚市下三緒35-664,,飯塚市,,,,33.636507,130.710568,,,0948-23-5563,,,,,,,,,,月火水木土,09:00,17:30,月土:午後休診,,内科、消化器内科、糖尿病内科、放射線科、小児科、リハビリテーション科,19,,,https://kajiwara-naikaiin.com/,,,
402052,0000000034,福岡県飯塚市,（医）金澤整形外科クリニック,カナザワセイケイゲカクリニック,,無床診療所,,,福岡県飯塚市幸袋498-1,,飯塚市,,,,33.658522,130.683843,,,0948-25-1777,,,,,,,,,,月火水木金土,09:00,18:00,水土:午後休診,,整形外科、リハビリテーション科,0,,,https://www.kanazawa-cli.com/,,,
402052,0000000035,福岡県飯塚市,（医）兼田循環器内科医院,カネダジュンカンキナイカイイン,,無床診療所,,,福岡県飯塚市有井355-12,,飯塚市,,,,33.646689,130.71847,,,0948-82-3456,,,,,,,,,,月火水木金土,08:30,17:00,"水木土:午後休診
水:17:30-20:00(夜間診療)",,内科、循環器科,0,,,https://www.kaneda-junkanki.com/,,,
402052,0000000036,福岡県飯塚市,（医）かやの森皮膚クリニック,カヤノモリヒフクリニック,,無床診療所,,,福岡県飯塚市柏の森432-5,,飯塚市,,,,33.637096,130.701717,,,0948-21-0370,,,,,,,,,,月火水金土,08:30,18:00,診察の受付は、診療時間の30分前までです。　毎週火曜日の診察は、10時からとなっております。なお、診察可能人数を超えた場合、受付可能時間内であっても受付を終了させていただく場合がございます。,,皮膚科,0,,,,,,
402052,0000000037,福岡県飯塚市,木原眼科医院,キハラガンカイイン,,無床診療所,,,福岡県飯塚市伊岐須298-6,,飯塚市,,,,33.652463,130.66518,,,0948-25-1319,,,,,,,,,,月火水木金土,09:00,17:30,"木:9:00-11:30
土:9:00-12:30",,眼科,0,,,,,,
402052,0000000038,福岡県飯塚市,（医）恵愛会　江藤外科胃腸科,ケイアイカイエトウゲカイチョウカ,,有床診療所,,,福岡県飯塚市有井355-83,,飯塚市,,,,33.646251,130.717864,,,0948-82-2381,,,,,,,,,,月火水木金土,08:30,17:30,土:午後休診,,外科、胃腸科,19,,,,,,
402052,0000000039,福岡県飯塚市,軽費老人ホームいずみ苑医務室,ケイヒロウジンホームイズミエンイムシツ,,無床診療所,,,福岡県飯塚市庄司2003-1,,飯塚市,,,,33.672738,130.660872,,,0948-23-6006,,,,,,,,,,,,,,,内科,0,,,,,,
402052,0000000040,福岡県飯塚市,（医）健蘭会　石橋外科内科医院,ケンランカイイシバシゲカナイカイイン,,無床診療所,,,福岡県飯塚市伊岐須847番地5,,飯塚市,,,,33.653908,130.661301,,,0948-23-0400,,,,,,,,,,月火水木金土,08:30,18:00,土:8:30‐13:00,,外科、内科、ﾘﾊﾋﾞﾘﾃｰｼｮﾝ科、整形外科、胃腸内科、肛門外科,0,,,https://sites.google.com/view/kenrankai,,,
402052,0000000041,福岡県飯塚市,（医）向陽会　西田内科クリニック,コウヨウカイニシダナイカクリニック,,無床診療所,,,福岡県飯塚市上三緒889-1,,飯塚市,,,,33.62869,130.708433,,,0948-24-8555,,,,,,,,,,月火水木金土,09:00,17:30,木土:午後休診,,内科、循環器科,0,,,,,,
402052,0000000042,福岡県飯塚市,心のクリニック・飯塚,ココロノクリニック・イイヅカ,,無床診療所,,,福岡県飯塚市菰田西2-5-34,,飯塚市,,,,33.629463,130.689003,,,0948-24-1515,,,,,,,,,,月火水木金土,09:30,18:00,"土:午後休診
土:１週・３週・５週目は休診",,精神科、神経科、心療内科,0,,,http://www.xn--u9j2ga3ftb3mu243a.jp/,,,
402052,0000000043,福岡県飯塚市,児嶋病院,コジマビョウイン,,病院,,,福岡県飯塚市花瀬87番地１,,飯塚市,,,,33.641902,130.660411,,,0948-22-1498,,,,,,,,,,月火水木金,09:00,17:00,"水金:午後休診
詳細はホームページをご覧ください。",,内科、外科、脳神経外科、消化器内科、循環器内科、リハビリテーション科,44,,,https://www.kojima-hospital.com/,,,
402052,0000000044,福岡県飯塚市,近藤医院,コンドウイイン,,無床診療所,,,福岡県飯塚市菰田西1-4-3,,飯塚市,,,,33.626832,130.688408,,,0948-22-2899,,,,,,,,,,月火水木金土,09:00,17:30,水土:午後休診,,内科、消化器科、小児科,0,,,,,,
402052,0000000045,福岡県飯塚市,坂本医院,サカモトイイン,,無床診療所,,,福岡県飯塚市目尾1256-14,,飯塚市,,,,33.684206,130.710214,,,0948-21-0076,,,,,,,,,,月火水木金土,09:00,18:00,火水土:午後休診,,内科、皮膚、小児科,0,,,,,,
402052,0000000046,福岡県飯塚市,坂元クリニック,サカモトクリニック,,無床診療所,,,福岡県飯塚市目尾720-3,,飯塚市,,,,33.674408,130.70235,,,0948-25-1881,,,,,,,,,,月火水木金土,09:00,17:30,木土:午後休診,,内科、外科,0,,,,,,
402052,0000000047,福岡県飯塚市,佐藤医院,サトウイイン,,無床診療所,,,福岡県飯塚市勢田1286-4,,飯塚市,,,,33.687184,130.723899,,,0948-92-0006,,,,,,,,,,月火水木金土,08:30,17:00,木土:午後休診,,内科、眼科,0,,,,,,
402052,0000000048,福岡県飯塚市,（医）佐藤眼科医院,サトウガンカイイン,,無床診療所,,,福岡県飯塚市新飯塚6-21,,飯塚市,,,,33.643902,130.692936,,,0948-22-1292,,,,,,,,,,月火水木金土,08:30,17:00,"木:午後休診
土:8:30-12:00、14:00-15:00",,眼科,0,,,,,,
402052,0000000049,福岡県飯塚市,（医）佐野医院,サノイイン,,無床診療所,,,福岡県飯塚市綱分845-1,,飯塚市,,,,33.634568,130.731313,,,0948-82-0036,,,,,,,,,,月火水木金土,09:00,18:00,,,内科、消化器内科、小児科,0,,,https://sanoiin.jp/,,,
402052,0000000050,福岡県飯塚市,サン・ふれあい菰田診察室,サン・フレアイコモダシンサツシツ,,無床診療所,,,福岡県飯塚市菰田115番地2,,飯塚市,,,,33.625984,130.690774,,,0948-29-0770,,,,,,,,,,,,,,,内科,0,,,,,,
402052,0000000051,福岡県飯塚市,（医）産婦人科・麻酔科すどうクリニック,サンフジンカ・マスイカスドウクリニック,,有床診療所,,,福岡県飯塚市菰田西1-4-22,,飯塚市,,,,33.626372,130.687582,,,0948-22-2347,,,,,,,,,,月火水木金土,09:00,18:00,"土:午後休診
火曜日午後は手術日のため一般診療はありません。",,産婦人科、麻酔科,11,,,https://sudoclinic.or.jp/,,,
402052,0000000052,福岡県飯塚市,柴田みえこ内科・神経内科クリニック,シバタミエコナイカ・シンケイナイカクリニック,,無床診療所,,,福岡県飯塚市鶴三緒1547-10,,飯塚市,,,,33.623911,130.700741,,,0948-21-0011,,,,,,,,,,月火水木金土,09:00,17:20,"水土:午後休診
金:午後は心療内科のみ",,脳神経内科、内科、心療内科、リハビリテーション,0,,,https://mieko-neurologyclinic.com/,,,
402052,0000000053,福岡県飯塚市,（医）下津眼科医院,シモツガンカイイン,,無床診療所,,,福岡県飯塚市菰田東2-3-30,,飯塚市,,,,33.631402,130.690135,,,0948-22-2221,,,,,,,,,,月火水木金土,09:00,17:30,"火:午後休診
土:9:00-14:30",,眼科,0,,,http://www.simotu.com/,,,
402052,0000000054,福岡県飯塚市,社会保険二瀬病院,シャカイホケンフタセビョウイン,,病院,,,福岡県飯塚市伊川1243-1,,飯塚市,,,,33.657772,130.655025,,,0948-22-1526,,,,,,,,,,月火水木金,08:30,16:30,詳細はホームページをご覧ください。,,内科、呼吸器内科、皮膚科、消化器内科、リハビリテーション科,55,,,http://futase-hp.jp/,,,
402052,0000000055,福岡県飯塚市,（医）社団親和会共立病院,シャダンシンワカイキョウリツビョウイン,,病院,,,福岡県飯塚市横田770-3,,飯塚市,,,,33.649431,130.668168,,,0948-22-0725,,,,,,,,,,月火水木金土,08:30,16:30,受付・診療時間は各科によって異なりますので、詳細はホームページをご覧ください。,,内科、消化器内科、皮膚科、リハビリテーション科、リウマチ科、循環器内科、緩和ケア内科,139,,,https://f-shinwakai.or.jp/kyoritsu/,,,
402052,0000000056,福岡県飯塚市,（医）秀和会　あおやぎ内科クリニック,シュウワカイアオヤギナイカクリニック,,無床診療所,,,福岡県飯塚市大分1324-4,,飯塚市,,,,33.587726,130.629566,,,0948-72-3230,,,,,,,,,,月火水木金土,09:00,19:00,"月火水木金:9:00-13:00、15:00-19:00
土:9:00-13:00、15:00-17:00",,内科、胃腸科、小児科、リハビリテーション科,0,,,,,,
402052,0000000057,福岡県飯塚市,障害者支援施設光ケ丘学園医務室,ショウガイシャシエンシセツヒカリガオカガクエンイムシツ,,無床診療所,,,福岡県飯塚市勢田119-14,,飯塚市,,,,33.686755,130.739794,,,0948-96-2001,,,,,,,,,,,,,,,神経内科,0,,,,,,
402052,0000000058,福岡県飯塚市,庄田整形外科,ショウダセイケイゲカ,,無床診療所,,,福岡県飯塚市楽市310-14,,飯塚市,,,,33.611613,130.679412,,,0948-30-1520,,,,,,,,,,月火水木金土,08:30,17:45,"火木土:午後休診
土:毎月第4は休診",,整形外科、リハビリテーション科,0,,,https://shoda-seikei.com/,,,
402052,0000000059,福岡県飯塚市,新飯塚駅内科,シンイイヅカエキナイカ,,無床診療所,,,福岡県飯塚市立岩1049-11,,飯塚市,,,,33.643697,130.697039,,,0948-26-2018,,,,,,,,,,月火木金土,09:00,16:00,,,内科、糖尿病内科、リハビリテーション科,0,,,https://shiniizuka-cl.com/,,,
402052,0000000060,福岡県飯塚市,新飯塚診療所,シンイイヅカシンリョウジョ,,無床診療所,,,福岡県飯塚市柏の森946-6,,飯塚市,,,,33.641723,130.694872,,,0948-22-2680,,,,,,,,,,月火水木金土,09:00,12:00,"月:16:30-19:00
第1・3火:14:00‐16:30
第2・4木:16:30‐19:00
第1・3土:9:00‐12:00",,内科,0,,,https://www.sfid.jp/shinryosho/shiniizuka/,,,
402052,0000000061,福岡県飯塚市,（身体障害者療護施設）　梅香苑の医務室,（シンタイショウガイシャリョウゴシセツ）バイコウエンノイムシツ,,無床診療所,,,福岡県飯塚市大日寺1213-1,,飯塚市,,,,33.635319,130.6339,,,0948-25-7500,,,,,,,,,,,,,,,内科,0,,,,,,
402052,0000000062,福岡県飯塚市,セナクリニック,セナクリニック,,無床診療所,,,福岡県飯塚市秋松559-5,,飯塚市,,,,33.626144,130.677524,,,0948-21-6007,,,,,,,,,,月火水金土,10:00,18:00,"土:10:00‐16:00
お昼休み:12:00‐13:00",,美容皮膚科,0,,,https://www.senaclinic.jp/,,,
402052,0000000063,福岡県飯塚市,(医)　千手医院,センジュイイン,,無床診療所,,,福岡県飯塚市西町4番38号,,飯塚市,,,,33.640531,130.679766,,,0948-22-3363,,,,,,,,,,月火水木金土,08:30,17:30,水土:8:30-12:00,,内科、呼吸器科、小児科,0,,,,,,
402052,0000000064,福岡県飯塚市,そうだレディースクリニック,ソウダレディースクリニック,,無床診療所,,,福岡県飯塚市新飯塚4-5,,飯塚市,,,,33.644791,130.692721,,,0948-26-7575,,,,,,,,,,月火水金土,09:00,18:00,"土:午後休診
月金:9:00‐13:00,14:00‐18:00
火木:9:00‐13:00,14:00‐17:00",,産婦人科,0,,,,,,
402052,0000000065,福岡県飯塚市,そばしま内科循環器科,ソバシマナイカジュンカンキカ,,無床診療所,,,福岡県飯塚市新飯塚21-21,,飯塚市,,,,33.64468,130.689121,,,0948-26-9900 ,,,,,,,,,,月火水木金土,08:30,17:00,木土:午後休診,,内科、循環器内科,0,,,,,,
402052,0000000066,福岡県飯塚市,大地の森医務室,ダイチノモリイムシツ,,無床診療所,,,福岡県飯塚市佐與1497-2,,飯塚市,,,,33.673863,130.716255,,,0948-92-5055,,,,,,,,,,,,,,,内科,0,,,,,,
402052,0000000067,福岡県飯塚市,（医）たかた皮ふ科医院,タカタヒフカイイン,,無床診療所,,,福岡県飯塚市菰田西1-5-4,,飯塚市,,,,33.627739,130.687298,,,0948-21-3345,,,,,,,,,,月火水木金,09:00,17:00,水:午後休診,,皮膚科,0,,,,,,
402052,0000000068,福岡県飯塚市,武富内科医院,タケトミナイカイイン,,無床診療所,,,福岡県飯塚市飯塚10-22,,飯塚市,,,,33.63631,130.685806,,,0948-22-6924,,,,,,,,,,月火水木金土,09:00,12:00,臨時休診あり,,内科、消化器内科、小児科,0,,,,,,
402052,0000000069,福岡県飯塚市,（医）田代医院,タシロイイン,,無床診療所,,,福岡県飯塚市吉原町2-18,,飯塚市,,,,33.641071,130.685506,,,0948-22-2748,,,,,,,,,,月火水木金土,09:00,17:00,木土:午後休診,,皮膚科,0,,,,,,
402052,0000000070,福岡県飯塚市,多田泌尿器科クリニック,タダヒニョウキカクリニック,,無床診療所,,,福岡県飯塚市吉原町537,,飯塚市,,,,33.642715,130.685409,,,0948-43-9216,,,,,,,,,,月火水木金土,08:45,17:00,木土:午後休診,,泌尿器科、皮膚科,0,,,https://tada-urology.com/,,,
402052,0000000071,福岡県飯塚市,たていわ病院,タテイワビョウイン,,病院,,,福岡県飯塚市立岩1725,,飯塚市,,,,33.650417,130.692459,,,0948-22-2611,,,,,,,,,,月火水木金土,09:00,16:30,詳細はホームページをご覧ください。,,精神科、内科、心療内科,203,,,https://tateiwa.or.jp/,,,
402052,0000000072,福岡県飯塚市,（医）田中医院,タナカイイン,,無床診療所,,,福岡県飯塚市天道415-1,,飯塚市,,,,33.603392,130.675882,,,0948-22-1850,,,,,,,,,,月火水木金土,09:00,17:30,土:午後休診,,小児科、内科,0,,,,,,
402052,0000000073,福岡県飯塚市,（医）田中クリニック,タナカクリニック,,有床診療所,,,福岡県飯塚市本町17-12,,飯塚市,,,,33.639624,130.682325,,,0948-22-3280,,,,,,,,,,月火水木金土,09:00,17:30,"木:午後休診
土:9:00-12:00、14:00-15:00",,産科、婦人科,14,,,,,,
402052,0000000074,福岡県飯塚市,（医）田中耳鼻咽喉科医院,タナカジビインコウカイイン,,無床診療所,,,福岡県飯塚市飯塚6-1,,飯塚市,,,,33.635917,130.686665,,,0948-29-8474,,,,,,,,,,月火水木金土,09:00,18:00,水土:午後休診,,耳鼻咽喉科,0,,,,,,
402052,0000000075,福岡県飯塚市,"地域密着型介護老人福祉施設
ことぶきの森医務室",チイキミッチャクガタカイゴロウジンフクシシセツコトブキノモリイムシツ,,無床診療所,,,福岡県飯塚市鯰田字水ヶ坂696番地21,,飯塚市,,,,33.67356,130.715493,,,0948-24-5030,,,,,,,,,,,,,,,内科,0,,,,,,
402052,0000000076,福岡県飯塚市,（医）塚本クリニック,ツカモトクリニック,,無床診療所,,,福岡県飯塚市平塚88-2,,飯塚市,,,,33.580625,130.664949,,,0948-72-4388,,,,,,,,,,月火水木金土,09:00,18:00,水土:午後休診,,内科、消化器科、外科,0,,,,,,
